,version,month,sentiment_score,month_name
7413,27,9,0.63,September
1139,27,9,0.064814815,September
7422,27,9,0.8,September
7421,27,9,0.4,September
7420,27,9,0.5,September
7419,27,9,0.25,September
526,27,9,0.358611111,September
7441,27,9,0.545454545,September
7444,27,9,0.4,September
7469,27,9,0.35,September
7417,27,9,0.1,September
7464,27,9,0.7,September
7461,27,9,0.5,September
7459,27,9,0,September
7458,27,9,0.65,September
7457,27,9,0.65,September
7455,27,9,0.5,September
7450,27,9,0.78,September
7446,27,9,0,September
7442,27,9,0.5,September
335,27,9,0.138888889,September
7285,27,9,0.445,September
7282,27,9,0.7,September
7277,27,9,0.233333333,September
7275,27,9,0.5,September
146,27,9,-0.046875,September
7271,27,9,0.45,September
7269,27,9,1,September
7268,27,9,-0.181818182,September
7267,27,9,0.5,September
7260,27,9,0.6,September
7270,27,9,0.5,September
209,27,9,0.346875,September
7284,27,9,1,September
206,27,9,-0.095833333,September
205,27,9,0.267857143,September
7307,27,9,1,September
201,27,9,-0.15,September
7304,27,9,0.136363636,September
7303,27,9,0.7,September
7288,27,9,1,September
197,27,9,-0.116414141,September
194,27,9,0.158333333,September
7298,27,9,0.7,September
7297,27,9,0.5,September
190,27,9,0.04,September
187,27,9,-0.15625,September
7429,27,9,0,September
7301,27,9,0.6,September
5600,27,9,0.7,September
273,27,9,0.25,September
7290,27,9,0.5,September
59,27,9,0.359393939,September
7183,27,9,0.136363636,September
51,27,9,0.205641026,September
7178,27,9,0.7,September
9,27,9,0.293802521,September
48,27,9,0.0485,September
43,27,9,-0.022222222,September
7163,27,9,0.6,September
11974,27,9,0.4,September
210,27,9,0.2125,September
142,27,9,0.1,September
7110,27,9,0,September
132,27,9,0.080625,September
7243,27,9,0.833333333,September
127,27,9,0.04375,September
7235,27,9,0,September
97,27,9,-0.006944444,September
113,27,9,0.103333333,September
107,27,9,0.107142857,September
7226,27,9,0.55,September
103,27,9,0.120833333,September
102,27,9,0.133608815,September
7241,27,9,0,September
7196,27,9,0.7,September
